Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
WORO,7B68,92.5,9335,COROZAL,PR,"18° 15' 9.00"" N 66° 19' 58.00"" W",8/11/2018,Report Change
KRQL-LP,3E8F,104.7,192477,SANTA ANA,CA,"33° 45' 21.10"" N 117° 51' 21.20"" W",10/31/2018,Report Change
WOWN,7BE9,99.3,72156,SHAWANO,WI,"44° 45' 13.90"" N 88° 20' 1.30"" W",8/11/2018,Report Change
KHRT-FM,2449,106.9,20488,MINOT,ND,"48° 9' 48.00"" N 101° 17' 56.60"" W",8/11/2018,Report Change
KKNL,2BC5,89.3,122329,VALENTINE,NE,"42° 53' 22.00"" N 100° 33' 16.50"" W",11/14/2018,Report Change
WXNE-LP,92BA,98.1,194778,PONTIAC,SC,"34° 7' 33.70"" N 80° 52' 58.30"" W",10/31/2018,Report Change
WZTH,98A1,91.1,172987,TUSCULUM,TN,"36° 5' 53.40"" N 82° 56' 36.50"" W",11/14/2018,Report Change
WISM-FM,6BA8,98.1,1130,ALTOONA,WI,"44° 46' 37.90"" N 91° 28' 29.60"" W",8/11/2018,Report Change
WCAN,59FD,93.3,70503,CANAJOHARIE,NY,"42° 53' 46.20"" N 74° 35' 43.50"" W",11/14/2018,Report Change
WCKZ,5B0D,91.3,93623,ORLAND,IN,"41° 44' 36.20"" N 85° 5' 47.90"" W",11/14/2018,Report Change
WYGC,94A6,104.9,59076,HIGH SPRINGS,FL,"29° 49' 16.90"" N 82° 34' 24.40"" W",8/11/2018,Report Change
KDRL,19B1,103.3,181071,PAMPA,TX,"35° 34' 39.20"" N 100° 57' 9.50"" W",8/11/2018,Report Change
WTEB,873D,89.3,14356,NEW BERN,NC,"35° 6' 32.60"" N 77° 6' 8.80"" W",11/14/2018,Report Change
WCDY,5A56,107.9,183306,MCBAIN,MI,"44° 10' 16.00"" N 85° 20' 14.00"" W",8/11/2018,Report Change
WMDA-LP,74A6,93.5,195039,MEMPHIS,TN,"35° 3' 13.80"" N 90° 0' 12.10"" W",10/31/2018,Report Change
WCGQ,5A9C,107.3,72089,COLUMBUS,GA,"32° 28' 0.50"" N 85° 3' 19.80"" W",8/11/2018,Report Change
WJNI,6DC6,106.3,66798,LADSON,SC,"32° 55' 42.60"" N 80° 6' 12.30"" W",8/11/2018,Report Change
WQDK,7F40,99.3,55247,GATESVILLE,NC,"36° 16' 29.60"" N 76° 43' 15.80"" W",8/11/2018,Report Change
KFON,1EAD,93.9,190004,GROVETON,TX,"31° 3' 5.90"" N 95° 7' 8.60"" W",8/11/2018,Report Change
WKWO,715A,90.9,65558,WOOSTER,OH,"40° 49' 41.20"" N 81° 52' 13.50"" W",3/18/2020,Report Change
KICJ,255D,88.9,90336,MITCHELLVILLE,IA,"41° 40' 5.00"" N 93° 19' 43.70"" W",11/14/2018,Report Change
WIXV,6C33,95.5,54799,SAVANNAH,GA,"32° 3' 29.70"" N 81° 20' 18.40"" W",8/11/2018,Report Change
WZIS-FM,978E,90.7,57684,TERRE HAUTE,IN,"39° 30' 26.10"" N 87° 31' 50.10"" W",11/14/2018,Report Change
KFXH,1F91,88.7,175816,MARLOW,OK,"34° 40' 3.30"" N 97° 56' 50.20"" W",11/14/2018,Report Change
WTXT,193D,98.1,68418,FAYETTE,AL,"33° 19' 21.30"" N 87° 46' 25.60"" W",5/3/2020,Report Change
KTLS-FM,435C,106.5,28053,HOLDENVILLE,OK,"34° 54' 50.30"" N 96° 31' 21.00"" W",8/11/2018,Report Change
WCKM-FM,AF5B,98.5,19650,LAKE GEORGE,NY,"43° 25' 12.20"" N 73° 45' 35.40"" W",8/11/2018,Report Change
WEOW,A6BA,92.7,11194,KEY WEST,FL,"24° 40' 37.50"" N 81° 30' 38.30"" W",8/11/2018,Report Change
WRVO,83BC,89.9,63115,OSWEGO,NY,"43° 25' 14.20"" N 76° 32' 37.80"" W",11/14/2018,Report Change
KSSD,415F,107.1,35139,FALLBROOK,CA,"33° 23' 1.10"" N 117° 11' 23.10"" W",8/11/2018,Report Change
KYGT-LP,A50F,102.7,131469,IDAHO SPRINGS,CO,"39° 45' 38.90"" N 105° 40' 58.00"" W",10/31/2018,Report Change
KXSE,4E94,104.3,53653,DAVIS,CA,"38° 39' 25.70"" N 121° 43' 15.90"" W",8/11/2018,Report Change
WZZP,9945,97.5,83979,HOPKINSVILLE,KY,"36° 45' 47.20"" N 87° 26' 59.00"" W",8/11/2018,Report Change
WKDP-FM,6F6D,99.5,19816,CORBIN,KY,"36° 57' 14.30"" N 83° 58' 40.70"" W",8/11/2018,Report Change
WHEI,6794,88.9,26688,TIFFIN,OH,"41° 6' 59.10"" N 83° 10' 2.70"" W",11/14/2018,Report Change
KOZX,3799,98.1,68596,CABOOL,MO,"37° 7' 58.10"" N 92° 8' 3.50"" W",8/11/2018,Report Change
WLKT,12CB,104.5,29575,LEXINGTON-FAYETTE,KY,"38° 4' 9.30"" N 84° 18' 43.80"" W",5/3/2020,Report Change
KLEA,2D74,95.7,2870,HOBBS,NM,"32° 43' 27.40"" N 103° 9' 5.70"" W",8/11/2018,Report Change
WRTM-FM,8386,100.5,19864,SHARON,MS,"32° 31' 20.00"" N 90° 4' 36.00"" W",8/11/2018,Report Change
WYUR,9621,103.7,165987,GILMAN,IL,"40° 53' 53.40"" N 87° 59' 58.00"" W",8/11/2018,Report Change
KXSS-FM,4EA2,96.9,9306,AMARILLO,TX,"35° 17' 33.20"" N 101° 50' 49.70"" W",8/11/2018,Report Change
WJOX-FM,6DEF,94.5,16901,BIRMINGHAM,AL,"33° 27' 45.40"" N 86° 50' 59.00"" W",8/11/2018,Report Change
KNDA,32A2,102.9,11080,ALICE,TX,"27° 42' 27.10"" N 97° 46' 54.90"" W",8/11/2018,Report Change
WKGO,6FBA,88.1,26527,MURRYSVILLE,PA,"40° 31' 12.20"" N 79° 39' 28.10"" W",11/14/2018,Report Change
KZSZ,53F1,107.5,51638,COLUSA,CA,"39° 17' 16.50"" N 122° 20' 5.90"" W",8/21/2019,Report Change
KIDC-LP,2570,94.1,196675,ODESSA,TX,"31° 49' 42.50"" N 102° 23' 1.50"" W",10/31/2018,Report Change
KEZK-FM,1D24,102.5,13507,ST. LOUIS,MO,"38° 34' 27.90"" N 90° 19' 31.90"" W",8/11/2018,Report Change
KIQN,26CD,103.3,164269,COLORADO CITY,CO,"37° 46' 52.00"" N 104° 32' 4.90"" W",8/11/2018,Report Change
KHOT-FM1,23FB,105.9,136351,GLENDALE,AZ,"33° 27' 3.20"" N 112° 4' 22.50"" W",8/11/2018,Report Change
KLFG,2D94,89.5,92486,FORT DODGE,IA,"42° 49' 2.90"" N 94° 24' 41.90"" W",11/14/2018,Report Change
WDZD-LP,5F21,99.1,195459,MONROE,NC,"34° 58' 58.50"" N 80° 32' 12.20"" W",10/31/2018,Report Change
KPCV,37E5,91.7,170140,PORTALES,NM,"34° 8' 6.30"" N 103° 36' 59.90"" W",11/14/2018,Report Change
KZTX,5409,91.1,174991,ENCINO,TX,"26° 53' 28.20"" N 98° 8' 26.00"" W",11/14/2018,Report Change
KTSU,4414,90.9,65336,HOUSTON,TX,"29° 43' 25.80"" N 95° 21' 52.70"" W",11/14/2018,Report Change
KJML,2907,107.1,64435,COLUMBUS,KS,"37° 14' 15.20"" N 94° 44' 15.80"" W",8/11/2018,Report Change
KTFJ-LP,42B7,104.7,195933,BURLINGTON,WA,"48° 28' 55.30"" N 122° 18' 44.50"" W",10/31/2018,Report Change
KZNS-FM6,5368,97.5,164755,OGDEN,UT,"41° 20' 31.70"" N 112° 0' 32.70"" W",8/11/2018,Report Change
KROU,3E64,105.7,69175,SPENCER,OK,"35° 34' 7.00"" N 97° 29' 21.00"" W",11/14/2018,Report Change
WRXZ,83FB,107.1,66138,BRIARCLIFF ACRES,SC,"33° 56' 14.60"" N 78° 57' 52.10"" W",8/11/2018,Report Change
WQHR,7FAF,96.1,9422,PRESQUE ISLE,ME,"46° 32' 51.20"" N 67° 48' 33.10"" W",8/11/2018,Report Change
KMTY,31B6,97.7,27174,GIBBON,NE,"40° 36' 8.00"" N 98° 50' 22.30"" W",8/11/2018,Report Change
WVBU-FM,8C4A,90.5,7722,LEWISBURG,PA,"40° 57' 18.30"" N 76° 52' 53.80"" W",11/14/2018,Report Change
WFVY,6416,100.1,36878,LEBANON,PA,"40° 21' 37.30"" N 76° 27' 29.80"" W",2/27/2020,Report Change
WWCD,8EF7,102.5,61230,BALTIMORE,OH,"39° 46' 15.00"" N 82° 44' 24.90"" W",8/11/2018,Report Change
WMGK,74FE,102.9,25094,PHILADELPHIA,PA,"40° 2' 21.40"" N 75° 14' 11.60"" W",8/11/2018,Report Change
KZRZ,53D7,98.3,52510,WEST MONROE,LA,"32° 39' 38.40"" N 91° 59' 28.40"" W",8/11/2018,Report Change
KYWD,14C7,97.1,24583,GREEN VALLEY,AZ,"32° 0' 11.80"" N 110° 47' 51.10"" W",5/3/2020,Report Change
KDRH,19AD,91.3,9863,KING CITY,CA,"36° 12' 22.90"" N 121° 6' 52.70"" W",11/14/2018,Report Change
WKTT,7111,97.5,53489,SALISBURY,MD,"38° 21' 39.40"" N 75° 36' 58.70"" W",8/11/2018,Report Change
KEHH,1B4D,92.3,52897,LIVINGSTON,TX,"30° 44' 18.70"" N 94° 55' 26.80"" W",10/16/2019,Report Change
WVEI-FM,8C8C,103.7,71720,WESTERLY,RI,"41° 34' 23.40"" N 71° 37' 56.20"" W",8/11/2018,Report Change
KEDB,1ADF,105.3,17776,CHARITON,IA,"40° 53' 23.00"" N 93° 1' 29.70"" W",8/11/2018,Report Change
KBIG,137A,104.3,6360,LOS ANGELES,CA,"34° 13' 36.00"" N 118° 4' 2.20"" W",5/3/2020,Report Change
KOUJ-LP,3709,107.1,195139,NORMAN,OK,"35° 13' 19.20"" N 97° 26' 30.10"" W",10/31/2018,Report Change
WRHW-LP,8258,93.5,195426,MURFREESBORO,TN,"35° 47' 32.10"" N 86° 22' 19.20"" W",10/31/2018,Report Change
WGBL,64A5,96.7,61305,GULFPORT,MS,"30° 27' 31.70"" N 89° 4' 46.10"" W",8/11/2018,Report Change
KOGM,35A0,107.1,33220,OPELOUSAS,LA,"30° 20' 32.70"" N 91° 57' 46.40"" W",8/11/2018,Report Change
WVMU,8D68,91.7,172330,ASHTABULA,OH,"41° 51' 14.00"" N 80° 41' 20.00"" W",11/14/2018,Report Change
KLWB-FM,2F49,103.7,183335,CARENCRO,LA,"30° 20' 32.70"" N 91° 57' 46.40"" W",8/11/2018,Report Change
WXCZ,91B1,103.3,57563,CEDAR KEY,FL,"29° 11' 45.90"" N 82° 59' 45.40"" W",8/11/2018,Report Change
WMIB,1529,103.5,67193,FORT LAUDERDALE,FL,"25° 58' 3.30"" N 80° 12' 33.20"" W",5/3/2020,Report Change
WSHT-LP,84F9,100.1,193496,INDIANAPOLIS,IN,"39° 49' 56.30"" N 86° 9' 44.70"" W",10/31/2018,Report Change
WTLP,8801,103.9,47105,BRADDOCK HEIGHTS,MD,"39° 27' 53.30"" N 77° 29' 41.90"" W",8/11/2018,Report Change
WMKY,7574,90.3,43765,MOREHEAD,KY,"38° 10' 38.30"" N 83° 24' 16.70"" W",11/14/2018,Report Change
KGNV,213F,89.9,43220,WASHINGTON,MO,"38° 35' 49.10"" N 91° 6' 17.50"" W",11/14/2018,Report Change
KNHK-FM1,3314,104.5,159514,SPOKANE,WA,"47° 41' 51.60"" N 117° 31' 10.80"" W",8/11/2018,Report Change
WHOM,689C,94.9,49687,MOUNT WASHINGTON,NH,"44° 16' 11.20"" N 71° 18' 13.20"" W",8/11/2018,Report Change
WBNZ,58B7,92.3,57414,FRANKFORT,MI,"44° 36' 38.00"" N 86° 9' 38.30"" W",8/11/2018,Report Change
KINC-LP,2674,98.1,195289,LITTLE ROCK,AR,"34° 46' 3.20"" N 92° 16' 2.90"" W",10/31/2018,Report Change
KMKV,A3C9,100.7,189544,KIHEI,HI,"20° 42' 34.00"" N 156° 15' 49.00"" W",8/11/2018,Report Change
WPPZ-FM,7DE3,107.9,12211,PENNSAUKEN,NJ,"39° 57' 9.40"" N 75° 10' 3.60"" W",8/11/2018,Report Change
KTIK-FM,4306,93.1,39609,NEW PLYMOUTH,ID,"43° 45' 20.60"" N 116° 5' 57.40"" W",8/11/2018,Report Change
KONA-LP,364A,100.5,194958,KAILUA-KONA,HI,"19° 42' 46.00"" N 155° 59' 32.90"" W",10/31/2018,Report Change
KPNC,38F0,100.7,35485,PONCA CITY,OK,"36° 46' 59.10"" N 97° 4' 16.10"" W",8/11/2018,Report Change
KSJT-FM,A485,107.5,36186,SAN ANGELO,TX,"31° 26' 19.10"" N 100° 34' 21.00"" W",8/11/2018,Report Change
WLFC,7238,88.3,21474,NORTH BALTIMORE,OH,"41° 7' 4.20"" N 83° 32' 37.70"" W",11/14/2018,Report Change
WVUD,8E27,91.3,69439,NEWARK,DE,"39° 41' 26.40"" N 75° 45' 21.80"" W",11/14/2018,Report Change
WFLA-FM,12FA,100.7,5379,MIDWAY,FL,"30° 29' 32.70"" N 84° 17' 12.60"" W",5/3/2020,Report Change
WOVI,7BCA,89.5,4271,NOVI,MI,"42° 27' 49.10"" N 83° 29' 27.70"" W",11/14/2018,Report Change
KAKS,1116,99.5,69858,GOSHEN,AR,"36° 12' 20.00"" N 94° 6' 7.00"" W",8/11/2018,Report Change
WWFR,8F53,91.7,20785,STUART,FL,"27° 7' 15.20"" N 80° 23' 58.20"" W",11/14/2018,Report Change
KRDX,3D49,98.5,36023,VAIL,AZ,"31° 55' 39.30"" N 110° 37' 59.20"" W",8/11/2018,Report Change
KXNZ,4E27,98.9,189576,WHEELER,TX,"35° 23' 59.20"" N 100° 14' 16.40"" W",8/11/2018,Report Change
KZLK,532C,106.3,76967,RAPID CITY,SD,"44° 4' 7.00"" N 103° 15' 3.70"" W",8/11/2018,Report Change
KJRC,2980,89.9,90517,RAPID CITY,SD,"44° 19' 41.90"" N 103° 50' 4.70"" W",11/14/2018,Report Change
WWKY-FM,8FDC,104.9,15527,PROVIDENCE,KY,"37° 24' 52.10"" N 87° 34' 23.00"" W",8/11/2018,Report Change
WUPX,8B15,91.5,49571,MARQUETTE,MI,"46° 30' 51.80"" N 87° 29' 7.50"" W",11/14/2018,Report Change
KQPT-LP,3BD9,106.1,195691,SACRAMENTO,CA,"38° 38' 9.20"" N 121° 17' 54.60"" W",8/21/2019,Report Change
WLRH,7375,89.3,719,HUNTSVILLE,AL,"34° 44' 13.30"" N 86° 31' 45.00"" W",11/14/2018,Report Change
WMHT-FM,7521,89.1,73266,SCHENECTADY,NY,"42° 37' 31.30"" N 74° 0' 36.50"" W",11/14/2018,Report Change
WSLC-FM,8550,94.9,30156,ROANOKE,VA,"37° 11' 50.40"" N 80° 9' 10.10"" W",8/11/2018,Report Change
WRMU-FM,82D8,91.1,43921,ALLIANCE,OH,"40° 54' 16.20"" N 81° 6' 44.30"" W",11/14/2018,Report Change
KSIT,A46B,99.7,63966,ROCK SPRINGS,WY,"41° 25' 59.80"" N 109° 7' 4.40"" W",8/11/2018,Report Change
WZYQ,992C,101.7,191535,MOUND BAYOU,MS,"33° 52' 49.40"" N 90° 42' 24.40"" W",8/11/2018,Report Change
KBOK-LP,141A,93.3,193411,RENO,NV,"39° 30' 56.70"" N 119° 46' 45.70"" W",10/31/2018,Report Change
WMSB,762D,88.9,42060,BYHALIA,MS,"34° 39' 30.40"" N 89° 37' 32.30"" W",11/14/2018,Report Change
KSUP,419F,106.3,820,JUNEAU,AK,"58° 18' 3.80"" N 134° 26' 32.30"" W",8/11/2018,Report Change
WXRI,9326,91.3,53100,WINSTON-SALEM,NC,"36° 8' 6.50"" N 80° 30' 13.20"" W",11/14/2018,Report Change
WOFB-LP,7A23,97.9,194474,GREENEVILLE,TN,"36° 10' 3.30"" N 82° 48' 37.50"" W",10/31/2018,Report Change
KKJQ,2B62,97.3,33690,GARDEN CITY,KS,"37° 46' 48.10"" N 100° 27' 37.50"" W",8/11/2018,Report Change
WKHI,6FCE,94.9,198742,NEWARK,MD,"38° 21' 41.40"" N 75° 15' 8.70"" W",9/20/2018,Report Change
KSRH,4149,88.1,58923,SAN RAFAEL,CA,"37° 58' 15.70"" N 122° 30' 50.90"" W",11/14/2018,Report Change
WPKN,7D55,89.5,73886,BRIDGEPORT,CT,"41° 16' 44.30"" N 73° 11' 6.40"" W",11/14/2018,Report Change
KBQI,144C,107.9,4706,ALBUQUERQUE,NM,"35° 12' 43.10"" N 106° 26' 59.00"" W",5/3/2020,Report Change
WZSN,988D,103.5,68852,GREENWOOD,SC,"34° 9' 46.40"" N 82° 11' 40.40"" W",8/11/2018,Report Change
WNFM,778A,104.9,59234,REEDSBURG,WI,"43° 35' 31.90"" N 90° 0' 42.40"" W",8/11/2018,Report Change
WLWJ,73F9,88.1,89735,PETERSBURG,IL,"40° 0' 5.20"" N 89° 41' 49.40"" W",11/14/2018,Report Change
KLFV,2DA3,90.3,12341,GRAND JUNCTION,CO,"39° 3' 56.90"" N 108° 44' 50.30"" W",11/14/2018,Report Change
KBOX,1427,104.1,7049,LOMPOC,CA,"34° 44' 29.90"" N 120° 26' 48.50"" W",8/11/2018,Report Change
KVMT,48BF,89.1,85576,MONTROSE,CO,"38° 18' 51.90"" N 108° 12' 4.20"" W",11/14/2018,Report Change
KIPM,26B2,89.7,172438,WAIKAPU,HI,"20° 42' 22.50"" N 156° 15' 38.80"" W",11/14/2018,Report Change
WXRV-FM3,9333,92.5,198696,NEWTON,MA,"42° 24' 51.10"" N 71° 12' 37.20"" W",8/11/2018,Report Change
KAZU,129E,90.3,43591,PACIFIC GROVE,CA,"36° 33' 8.70"" N 121° 47' 21.00"" W",11/14/2018,Report Change
WHYS-LP,69A6,96.3,131585,EAU CLAIRE,WI,"44° 48' 38.80"" N 91° 29' 50.50"" W",10/31/2018,Report Change
WAZQ,5742,89.3,175980,DUCK KEY,FL,"24° 49' 17.50"" N 80° 49' 5.90"" W",11/14/2018,Report Change
WBVN,597B,104.5,34015,CARRIER MILLS,IL,"37° 46' 25.10"" N 88° 44' 20.20"" W",8/11/2018,Report Change
KSYD,41FB,92.1,59341,REEDSPORT,OR,"43° 39' 25.40"" N 124° 11' 14.40"" W",11/14/2018,Report Change
KQGC,3ADE,91.1,85845,BELEN,NM,"34° 23' 44.20"" N 107° 0' 44.10"" W",11/14/2018,Report Change
WJWJ-FM,6EB1,89.9,61006,BEAUFORT,SC,"32° 42' 42.60"" N 80° 40' 53.40"" W",11/14/2018,Report Change
WGAF-LP,6485,102.1,196179,FAYETTEVILLE,GA,"33° 23' 41.20"" N 84° 33' 6.00"" W",10/31/2018,Report Change
KDUB-LP,19F5,99.9,195674,WATSONVILLE,CA,"36° 56' 57.60"" N 121° 44' 30.80"" W",10/31/2018,Report Change
WSGJ-LP,84D5,92.1,192729,BOWLING GREEN,KY,"37° 0' 4.50"" N 86° 26' 46.20"" W",10/31/2018,Report Change
WEDJ,5F8F,107.1,13794,DANVILLE,IN,"39° 48' 6.20"" N 86° 34' 24.00"" W",8/11/2018,Report Change
KCLL,1671,100.1,17778,SAN ANGELO,TX,"31° 31' 49.60"" N 100° 29' 6.30"" W",8/11/2018,Report Change
KVER,47ED,91.1,73745,EL PASO,TX,"31° 47' 33.40"" N 106° 28' 50.00"" W",11/14/2018,Report Change
WRXA-LP,83E2,95.7,196071,ROCKY MOUNT,VA,"36° 59' 42.10"" N 79° 53' 59.30"" W",10/31/2018,Report Change
WYCE,9440,88.1,24773,WYOMING,MI,"42° 54' 43.10"" N 85° 41' 0.10"" W",11/14/2018,Report Change
KBDS,1304,103.9,456,TAFT,CA,"35° 7' 3.80"" N 119° 27' 36.40"" W",8/11/2018,Report Change
KIQK,26CA,104.1,67310,RAPID CITY,SD,"44° 1' 18.90"" N 103° 15' 34.60"" W",8/11/2018,Report Change
WBWO-LP,5996,102.9,192526,MOUNDSVILLE,WV,"39° 57' 0.20"" N 80° 46' 15.30"" W",10/31/2018,Report Change
WXFL,91F1,96.1,4770,FLORENCE,AL,"34° 54' 17.30"" N 87° 24' 2.10"" W",8/11/2018,Report Change
KJET-FM1,283F,105.7,137084,ABERDEEN,WA,"46° 56' 54.30"" N 123° 49' 16.50"" W",8/11/2018,Report Change
KSCK-LP,3FC6,100.5,191109,STERLING CITY,TX,"31° 49' 9.30"" N 100° 59' 49.00"" W",10/31/2018,Report Change
WZRN,9873,90.5,122305,NORLINA,NC,"36° 29' 38.50"" N 78° 11' 22.00"" W",11/14/2018,Report Change
KTML,436F,91.9,173903,SOUTH FORK,CO,"37° 43' 47.00"" N 106° 35' 20.10"" W",11/14/2018,Report Change
WGSU,6668,89.3,63124,GENESEO,NY,"42° 47' 51.20"" N 77° 49' 12.00"" W",11/14/2018,Report Change
KREE,3D50,88.1,174148,PIRTLEVILLE,AZ,"31° 20' 54.40"" N 109° 28' 48.20"" W",11/14/2018,Report Change
KBLX-FM2,13D9,102.9,88317,PLEASANTON,CA,"37° 52' 54.70"" N 121° 55' 8.90"" W",8/11/2018,Report Change
KLEO-FM1,2D82,106.1,127963,HONOKAA,HI,"20° 4' 18.90"" N 155° 27' 53.00"" W",8/11/2018,Report Change
WXKE,926C,96.3,22287,CHURUBUSCO,IN,"41° 6' 24.20"" N 85° 11' 45.90"" W",8/11/2018,Report Change
KRWL-LP,3F2B,97.7,195028,COQUILLE,OR,"43° 9' 0.30"" N 124° 10' 23.30"" W",10/31/2018,Report Change
WTMD,880F,89.7,67461,TOWSON,MD,"39° 24' 10.40"" N 76° 36' 10.90"" W",11/14/2018,Report Change
KMXX,321D,99.3,6665,IMPERIAL,CA,"32° 54' 40.20"" N 115° 31' 43.00"" W",8/11/2018,Report Change
KEMJ,1BD1,101.5,57428,ST. JAMES,MN,"43° 52' 26.80"" N 94° 36' 0.90"" W",4/4/2020,Report Change
WVRT,8DE9,97.7,58313,MILL HALL,PA,"41° 13' 14.30"" N 77° 16' 37.90"" W",8/11/2018,Report Change
WWIB,8F91,103.7,63428,HALLIE,WI,"45° 6' 6.90"" N 91° 9' 33.50"" W",8/11/2018,Report Change
WRHM,824E,107.1,50776,LANCASTER,SC,"34° 51' 34.50"" N 80° 47' 58.30"" W",8/11/2018,Report Change
WHRF,68E3,98.3,181073,BELLE HAVEN,VA,"37° 40' 38.50"" N 75° 43' 35.70"" W",11/14/2018,Report Change
KGCM,A218,90.9,122022,THREE FORKS,MT,"45° 57' 24.70"" N 111° 22' 16.50"" W",11/14/2018,Report Change
WKEU-FM,6F8C,88.9,23908,THE ROCK,GA,"32° 59' 11.50"" N 84° 21' 55.70"" W",11/14/2018,Report Change
KCSI,1724,95.3,26456,VILLISCA,IA,"41° 1' 35.20"" N 95° 12' 3.00"" W",8/11/2018,Report Change
KDWR-LP,1A39,92.9,195193,DESERT RIDGE,AZ,"33° 39' 47.10"" N 112° 1' 46.50"" W",10/31/2018,Report Change
WPJY,7D46,88.7,91837,BLENNERHASSETT,WV,"39° 14' 0.30"" N 81° 53' 25.50"" W",11/14/2018,Report Change
WBHD,5805,95.7,43521,OLYPHANT,PA,"41° 26' 9.20"" N 75° 43' 43.60"" W",8/11/2018,Report Change
KROI,3E58,92.1,35565,SEABROOK,TX,"29° 21' 58.00"" N 95° 22' 57.60"" W",8/11/2018,Report Change
WKCV-LP,6F59,103.5,133966,LA PLUME,PA,"41° 33' 32.20"" N 75° 46' 38.60"" W",10/31/2018,Report Change
WGRY-FM,6652,101.1,23085,ROSCOMMON,MI,"44° 34' 15.10"" N 84° 41' 33.10"" W",8/11/2018,Report Change
KELI,1BB6,98.7,18180,SAN ANGELO,TX,"31° 22' 1.50"" N 100° 2' 49.20"" W",8/11/2018,Report Change
KIRC,26DC,105.9,50351,SEMINOLE,OK,"35° 18' 28.30"" N 96° 45' 19.10"" W",8/11/2018,Report Change
KOCN,1539,105.1,8082,PACIFIC GROVE,CA,"36° 33' 8.80"" N 121° 47' 20.80"" W",5/3/2020,Report Change
KDHT-FM1,18B5,104.9,92756,BENNETT VALLEY,CA,"38° 25' 6.60"" N 122° 40' 36.90"" W",8/11/2018,Report Change
KSCA,3FBC,101.9,24548,GLENDALE,CA,"34° 13' 26.00"" N 118° 3' 48.20"" W",8/11/2018,Report Change
KGGF-FM,A279,104.1,34461,FREDONIA,KS,"37° 22' 22.20"" N 95° 43' 37.90"" W",8/11/2018,Report Change
WLMN,72F9,89.7,172572,MANISTEE,MI,"44° 6' 18.00"" N 86° 15' 1.30"" W",11/14/2018,Report Change
KMGO-FM1,A35A,98.7,199797,OTTUMWA,IA,"41° 0' 55.10"" N 92° 24' 34.70"" W",8/11/2018,Report Change
WHYI-FM,199C,100.7,41381,FORT LAUDERDALE,FL,"25° 58' 3.30"" N 80° 12' 33.20"" W",5/3/2020,Report Change
WCXO,5C54,96.7,12052,CARLYLE,IL,"38° 38' 24.20"" N 89° 22' 40.30"" W",8/11/2018,Report Change
KSSE-FM1,4160,107.1,35114,SAN FERNANDO,CA,"34° 7' 34.00"" N 118° 22' 6.30"" W",8/11/2018,Report Change
WRIC-FM,825E,97.7,12044,RICHLANDS,VA,"37° 9' 4.40"" N 81° 53' 55.40"" W",8/11/2018,Report Change
KHEI-FM,22EC,107.5,170177,KIHEI,HI,"20° 46' 19.40"" N 156° 14' 38.80"" W",8/11/2018,Report Change
WQLC,A808,102.1,38491,WATERTOWN,FL,"30° 13' 58.80"" N 82° 48' 17.40"" W",8/11/2018,Report Change
WRPV,8327,91.1,176200,RIDGWAY,PA,"41° 24' 16.20"" N 78° 42' 0.00"" W",11/14/2018,Report Change
KZLX-LP,5339,106.7,131938,MARYVILLE,MO,"40° 21' 36.00"" N 94° 53' 0.90"" W",10/31/2018,Report Change
WLHH,7271,104.9,40705,RIDGELAND,SC,"32° 26' 3.70"" N 80° 55' 15.40"" W",8/11/2018,Report Change
KVVC-LP,4998,106.5,194418,VALLEJO,CA,"38° 10' 59.00"" N 122° 15' 46.00"" W",10/31/2018,Report Change
WCVV,5C27,89.5,4640,BELPRE,OH,"39° 19' 27.30"" N 81° 37' 32.50"" W",11/14/2018,Report Change
KSMF,A4C5,89.1,63022,ASHLAND,OR,"42° 17' 53.40"" N 122° 45' 3.10"" W",11/14/2018,Report Change
WAJJ,559B,89.3,93702,MCKENZIE,TN,"36° 6' 55.20"" N 88° 30' 38.20"" W",11/14/2018,Report Change
WDZN-FM1,5F2B,99.5,177584,CUMBERLAND,MD,"39° 38' 43.20"" N 78° 48' 16.00"" W",8/11/2018,Report Change
WGEX,64FF,97.3,52402,BAINBRIDGE,GA,"31° 9' 12.70"" N 84° 32' 37.70"" W",8/11/2018,Report Change
WZPW,9848,92.3,3464,PEORIA,IL,"40° 47' 10.10"" N 89° 47' 1.40"" W",8/11/2018,Report Change
WZET,9727,92.1,61579,HORMIGUEROS,PR,"18° 19' 6.00"" N 67° 10' 42.00"" W",8/11/2018,Report Change
WYPL,9599,89.3,13996,MEMPHIS,TN,"35° 28' 3.30"" N 90° 11' 27.30"" W",11/14/2018,Report Change
WMGB,74F5,95.1,88541,MONTEZUMA,GA,"32° 33' 20.50"" N 83° 44' 13.70"" W",8/11/2018,Report Change
KIAD,2523,88.5,91585,DUBUQUE,IA,"42° 24' 16.00"" N 90° 34' 12.50"" W",11/14/2018,Report Change
WWEZ-LP,8F41,94.7,123743,ST. SIMONS ISLAND,GA,"31° 10' 8.00"" N 81° 24' 57.30"" W",10/31/2018,Report Change
WULC-LP,8A98,95.9,196256,HENDERSONVILLE,NC,"35° 23' 48.40"" N 82° 29' 28.40"" W",10/31/2018,Report Change
WCXR,5C57,103.7,15187,LEWISBURG,PA,"40° 58' 38.20"" N 77° 6' 58.80"" W",8/11/2018,Report Change
